SUBWYST_ID,STATION_ID,NYCT_ID,LINE,DIVISION,STAT_LABEL,DISP_X,DISP_Y,DISP_NAME,DISP_LINE,DISP_NOTE,X,Y
259,100,1315,JAMAICA LINE,BMT,BMT-JP-MP-HEWES ST,997146,196819,Hewes St,J-M,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights",997145.858,196819.9314
258,101,1314,JAMAICA LINE,BMT,BMT-J-MP-ZR-MARCY AVE,995941,197362,Marcy Ave,J-M-Z,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound",995943.6228,197367.8468
260,102,1313,NASSAU ST LINE,BMT,BMT-J-MP-ZR-ESSEX ST,987740,200975,Delancey St - Essex St,J-M-Z,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound",987750.176,200971.3236
190,103,1312,NASSAU ST LINE,BMT,BMT-J-ZR-BOWERY,985967,201682,Bowery,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound",985960.7692,201683.738
169,104,1311,NASSAU ST LINE,BMT,BMT-J-ZR-CANAL ST,984298,200927,Canal St,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound",984292.349,200918.9214
168,105,1310,NASSAU ST LINE,BMT,BMT-J-ZR-CHAMBERS ST,983306,199127,Chambers St,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound",983309.7118,199135.4826
167,106,1309,NASSAU ST LINE,BMT,BMT-J-ZR-FULTON ST,982049,197957,Fulton St,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound",982101.8166,198027.7338
182,107,1308,NASSAU ST LINE,BMT,BMT-J-ZR-BROAD ST,981185,196665,Broad St,J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound",981181.6084,196666.056
178,108,1342,MYRTLE AVE LINE,BMT,BMT-M-METROPOLITAN AVE,1014863,198489,Middle Village - Metropolitan Ave,M,M-all times,1014856.285,198476.5304
177,109,1341,MYRTLE AVE LINE,BMT,BMT-M-FRESH POND RD,1013113,196591,Fresh Pond Rd,M,M-all times,1013117.012,196575.7172
392,110,1340,MYRTLE AVE LINE,BMT,BMT-M-FOREST AVE,1011124,195928,Forest Ave,M,M-all times,1011122.476,195931.435
390,111,1339,MYRTLE AVE LINE,BMT,BMT-M-SENECA AVE,1009875,195382,Seneca Ave,M,M-all times,1009876.016,195381.6864
389,112,1338,MYRTLE AVE LINE,BMT,BMT-M-WYCKOFF AVE,1008601,194119,Myrtle - Wyckoff Aves,M,M-all times,1008601.288,194116.318
22,113,1337,MYRTLE AVE LINE,BMT,BMT-M-KNICKERBOCKER AVE,1006511,193827,Knickerbocker Ave,M,M-all times,1006510.321,193829.1416
21,114,1336,MYRTLE AVE LINE,BMT,BMT-M-CENTRAL AVE,1004425,193539,Central Ave,M,M-all times,1004423.9,193540.3414
206,115,1443,8TH AVE LINE,BMT,BMT-L-8 AVE,983536,208797,8th Ave,L,L-all times,983563.0094,208810.7978
205,116,1444,14ST/CANARSIE LINE,BMT,BMT-L-6 AVE,984873,208056,6th Ave,L,L-all times,984881.4778,208051.5842
133,117,1445,14ST/CANARSIE LINE,BMT,BMT-L-UNION SQ-14 STREET,986836,206971,Union Sq - 14th St,L,L-all times,986790.5044,207009.4916
132,118,1446,14ST/CANARSIE LINE,BMT,BMT-L-3 AVE,988199,206216,3rd Ave,L,L-all times,988198.7486,206215.506
268,119,1447,14ST/CANARSIE LINE,BMT,BMT-L-1 AVE,989327,205591,1st Ave,L,L-all times,989333.2146,205593.946
282,120,1448,14ST/CANARSIE LINE,BMT,BMT-L-BEDFORD AVE,996263,200565,Bedford Ave,L,L-all times,996262.6138,200565.2686
281,121,1449,14ST/CANARSIE LINE,BMT,BMT-L-LORIMER ST,998042,199436,Lorimer St,L,L-all times,998042.316,199434.1712
280,122,1450,14ST/CANARSIE LINE,BMT,BMT-L-GRAHAM AVE,999790,199621,Graham Ave,L,L-all times,999790.0392,199619.8082
279,123,1451,14ST/CANARSIE LINE,BMT,BMT-L-GRAND ST,1000746,198528,Grand St,L,L-all times,1000748.797,198530.7386
285,124,1452,14ST/CANARSIE LINE,BMT,BMT-L-MONTROSE AVE,1000942,197004,Montrose Ave,L,L-all times,1000947.705,196961.4672
26,125,1453,14ST/CANARSIE LINE,BMT,BMT-L-MORGAN AVE,1002785,196554,Morgan Ave,L,L-all times,1002805.868,196558.642
25,126,1454,14ST/CANARSIE LINE,BMT,BMT-L-JEFFERSON ST,1005623,196722,Jefferson St,L,L-all times,1005743.19,196623.3852
391,127,1455,14ST/CANARSIE LINE,BMT,BMT-L-DEKALB AVE,1006921,195661,DeKalb Ave,L,L-all times,1006920.223,195660.7076
356,128,1456,14ST/CANARSIE LINE,BMT,BMT-L-MYRTLE AVE,1008935,194125,Myrtle - Wyckoff Aves,L,L-all times,1008941.828,194129.9416
356,128,1456,14ST/CANARSIE LINE,BMT,BMT-L-MYRTLE AVE,1008935,194125,Myrtle - Wyckoff Aves,L,L-all times,1008941.828,194129.9416
355,129,1457,14ST/CANARSIE LINE,BMT,BMT-L-HALSEY ST,1010889,192687,Halsey St,L,L-all times,1010888.787,192686.9372
473,130,1458,14ST/CANARSIE LINE,BMT,BMT-L-WILSON AVE,1010885,190264,Wilson Ave,L,L-all times,1010868.475,190238.3852
472,131,1459,14ST/CANARSIE LINE,BMT,BMT-L-BUSHWICK-ABERDEEN,1010526,188075,Bushwick - Aberdeen,L,L-all times,1010528.747,188066.768
474,132,1460,14ST/CANARSIE LINE,BMT,BMT-L-BROADWAY JUNCTION,1011122,186471,Broadway Junction,L,L-all times,1011115.914,186474.7054
377,133,1461,14ST/CANARSIE LINE,BMT,BMT-L-ATLANTIC AVE,1011129,185338,Atlantic Ave,L,L-all times,1011155.886,185338.81
364,134,1462,14ST/CANARSIE LINE,BMT,BMT-L-SUTTER AVE,1011459,183079,Sutter Ave,L,L-all times,1011459.34,183078.7728
363,135,1463,14ST/CANARSIE LINE,BMT,BMT-L-LIVONIA AVE,1011837,181226,Livonia Ave,L,L-all times,1011853.008,181123.9226
371,136,1464,14ST/CANARSIE LINE,BMT,BMT-L-NEW LOTS AVE,1012195,179353,New Lots Ave,L,L-all times,1012196.075,179350.0004
368,137,1465,14ST/CANARSIE LINE,BMT,BMT-L-E 105 ST,1012124,176276,E 105th St,L,L-all times,1012116.58,176268.7406
367,138,1466,14ST/CANARSIE LINE,BMT,BMT-L-CANARSIE- ROCKAWAY PKWY,1011487,174885,Canarsie - Rockaway Pkwy,L,L-all times,1011442.612,174719.2416
480,139,1442,FRANKLIN AVE SHUTTLE LINE,BMT,BMT-S-FRANKLIN AVE,996502,187239,Franklin Ave - Fulton St,S,S to Prospect Park-all times,996517.5276,187330.1378
479,141,1441,FRANKLIN AVE SHUTTLE LINE,BMT,BMT-S-PARK PL,996004,185117,Park Pl,S,S Franklin Av-Fulton St to Prospect Park-all times,995996.0868,185107.0608
471,142,1440,FRANKLIN AVE SHUTTLE LINE,BMT,BMT-S-BOTANIC GARDEN,995556,183503,Botanic Garden,S,S Franklin Av-Fulton St to Prospect Park-all times,995515.7138,183357.7686
453,143,1204,8TH AVE LINE,IND,IND-A-INWOOD-207 ST,1006404,255550,Inwood - 207th St,A,A-all times,1006444.561,255565.3208
187,144,1203,8TH AVE LINE,IND,IND-A-DYCKMAN ST,1004366,254608,Dyckman St,A,A-all times,1004359.304,254618.1138
150,145,1202,8TH AVE LINE,IND,IND-A-190 ST,1002457,252249,190th St,A,A-all times,1002429.177,252258.9524
149,146,1201,8TH AVE LINE,IND,IND-A-181 ST,1001411,249579,181st St,A,A-all times,1001406.85,249580.0426
333,147,1200,8TH AVE LINE,IND,IND-A-175 ST,1000932,248011,175th St,A,A-all times,1000931.665,248010.6314
331,148,1199,8TH AVE LINE,IND,IND-A-CP-WASHINGTON HTS-168 ST,1000973,245580,168th St,A-C,"A-all times, C-all times exc nights",1000977.734,245578.679
166,149,1198,8TH AVE LINE,IND,IND-AL-CP-163 ST-AMSTERDAM AVE,1000883,243865,163rd St - Amsterdam Av,A-C,"A-nights, C-all other times",1000870.97,243863.4358
165,150,1197,8TH AVE LINE,IND,IND-AL-CP-155 ST,1000435,241863,155th St,A-C,"A-nights, C-all other times",1000433.736,241863.172
11,151,1196,8TH AVE LINE,IND,IND-A-BP-CP-D-145 ST,999724,239767,145th St,A-B-C-D,"A,D-all times, B-weekdays and evenings, C-all times exc nights",999689.85,239772.2886
203,152,1195,8TH AVE LINE,IND,IND-AL-BP-CP-135 ST,998772,237267,135th St,A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights",998740.388,237262.2624
152,153,1194,8TH AVE LINE,IND,IND-A-BP-CP-D-125 ST,997469,234776,125th St,A-B-C-D,"A,D-all times, B-weekdays and evenings, C-all times exc nights",997442.4124,234789.5234
151,154,1193,8TH AVE LINE,IND,IND-AL-BP-CP-116 ST,996764,232585,116th St,A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights",996740.3842,232594.5606
302,155,1192,8TH AVE LINE,IND,IND-AL-BP-CP-CATHEDRAL PY,995860,230953,Cathedral Pkwy (110th St),A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights",995834.8054,230961.5984
301,156,1191,8TH AVE LINE,IND,IND-AL-BP-CP-103 ST,994946,229306,103rd St,A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights",994922.5948,229317.1218
312,157,1190,8TH AVE LINE,IND,IND-AL-BP-CP-96 ST,994052,227687,96th St,A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights",994024.9312,227696.8386
311,158,1189,8TH AVE LINE,IND,IND-AL-BP-CP-86 ST,992882,225575,86th St,A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights",992857.8252,225591.349
