Borough,Line,Station,District,STATION_ID
Brooklyn,"A,C",Rockaway Avenue,33,183
Brooklyn,"A,C",Broadway Junction / East New York,33,184
Brooklyn,"A,C",Liberty Avenue,33,185
Brooklyn,"A,C",Van Siclen Avenue,33,186
Brooklyn,"A,C",Shepherd Avenue,33,187
Brooklyn,"A,C,S",Euclid Avenue,33,188
Brooklyn,A,Grant Avenue,33,189
Brooklyn,"D,F,N,Q",Stillwell Avenue / Coney Island,34,58
Brooklyn,"Q,F",West 8 Street / NY Aquarium,34,57
Brooklyn,Q,Ocean Parkway,34,56
Brooklyn,"B,Q",Brighton Beach,34,55
Brooklyn,"B,Q",Sheepshead Bay,34,54
Brooklyn,Q,Neck Road,34,53
Brooklyn,Q,Avenue U,34,52
Brooklyn,"B,Q",Kings Highway,34,51
Brooklyn,Q,Avenue M,34,50
Brooklyn,Q,Avenue J,34,49
Brooklyn,Q,Avenue H,34,48
Brooklyn,"B,Q",Newkirk Avenue,34,47
Brooklyn,F,Neptune Avenue,34,253
Brooklyn,F,Avenue X,34,252
Brooklyn,F,Avenue U,34,251
Brooklyn,F,Kings Highway,34,250
Brooklyn,F,Avenue P,34,249
Brooklyn,F,Avenue N,34,248
Brooklyn,F,Bay Parkway,34,247
Brooklyn,F,Avenue I,34,246
Brooklyn,F,18 Avenue,34,245
Brooklyn,F,Ditmas Avenue,34,244
Brooklyn,N,86 Street,34,79
Brooklyn,N,Avenue U,34,78
Brooklyn,N,Kings Highway,34,77
Brooklyn,N,Bay Parkway,34,76
Brooklyn,N,20 Avenue,34,75
Brooklyn,N,18 Avenue,34,74
Brooklyn,N,New Utrecht Avenue,34,73
Brooklyn,N,Fort Hamilton Parkway,34,72
Brooklyn,N,8 Avenue,34,71
Brooklyn,D,Bay 50 Street,34,70
Brooklyn,D,25 Avenue,34,69
Brooklyn,D,Bay Parkway,34,68
Brooklyn,D,20 Avenue,34,67
Brooklyn,D,18 Avenue,34,66
Brooklyn,D,79 Street,34,65
Brooklyn,D,71 Street,34,64
Brooklyn,D,62 Street,34,63
Brooklyn,D,55 Street,34,62
Brooklyn,D,50 Street,34,61
Brooklyn,D,Fort Hamilton Parkway,34,60
Brooklyn,D,9 Avenue,34,59
Brooklyn,"D,N,R",36 Street,34,32
Brooklyn,"N,R",45 Street,34,33
Brooklyn,"N,R",53 Street,34,34
Brooklyn,"N,R",59 Street,34,35
Brooklyn,R,Bay Ridge Avenue,34,36
Brooklyn,R,77 Street,34,37
Brooklyn,R,86 Street,34,38
Brooklyn,R,95 Street / Bay Ridge,34,39
