X,Y,BOROUGH,LINE,STATION,DISTRICT,STATION_ID,NOTE
993725,188209,"Brooklyn","A,C","Clinton / Washington Avenues","30",177,"A-nights, C-all other times"
996502,187239,"Brooklyn","S","Franklin Avenue","30",139,"S to Prospect Park-all times"
986814,189245,"Brooklyn","F,G","Bergen Street","30",236,"F,G-all times"
985390,184702,"Brooklyn","F,G","Smith / 9 Streets","30",238,"F,G-all times"
989729,182008,"Brooklyn","F,G","7 Avenue","30",240,"F,G-all times"
990972,176375,"Brooklyn","F,G","Fort Hamilton Parkway","30",242,"F,G-all times"
991079,189613,"Brooklyn","G","Fulton Street","30",292,"G-all times"
995346,190260,"Brooklyn","G","Classon Avenue","30",290,"G-all times"
998374,192349,"Brooklyn","G","Myrtle / Willoughby Avenues","30",288,"G-all times"
998026,196541,"Brooklyn","G","Broadway","30",286,"G-all times"
997781,203228,"Brooklyn","G","Nassau Avenue","30",284,"G-all times"
986519,192191,"Brooklyn","R","Court Street","30",24,"N-nights, R-all other times"
991476,189247,"Brooklyn","A,C","Lafayette Avenue","30",176,"A-nights, C-all other times"
989684,190047,"Brooklyn","2,3,4,5","Nevins Street","30",337,"2,4-all times, 3-all times exc nights, 5-weekdays"
987024,191835,"Brooklyn","2,3","Borough Hall","30",335,"2-all times, 3-all times exc nights"
986167,193382,"Brooklyn","2,3","Clark Street","30",334,"2-all times, 3-all times exc nights"
1016400,182054,"Brooklyn","3","New Lots Avenue","32",352,"4-nights, 3-all other times"
1013412,181467,"Brooklyn","3","Pennsylvania Avenue","32",350,"4-nights, 3-all other times"
1009508,180699,"Brooklyn","3","Rockaway Avenue","32",348,"4-nights, 3-all other times"
1005745,181478,"Brooklyn","3","Sutter Avenue / Rutland Road","32",346,"4-nights, 3-all other times"
998002,183357,"Brooklyn","3","Nostrand Avenue","32",343,"4-nights, 3-all other times"
998810,169842,"Brooklyn","2,5","Flatbush Avenue / Brooklyn College","32",359,"2-all times, 5-weekdays"
998445,174316,"Brooklyn","2,5","Beverly Road","32",357,"2-all times, 5-weekdays"
998101,178519,"Brooklyn","2,5","Winthrop Street","32",355,"2-all times, 5-weekdays"
997957,182608,"Brooklyn","2,5","President Street","32",353,"2-all times, 5 weekdays"
991184,187334,"Brooklyn","2,3","Bergen Street","32",339,"4-nights, 3-all other times, 2-all times"
990689,188655,"Brooklyn","B,Q","Atlantic Avenue / Barclays Center","32",40,"B-weekdays and evenings, Q-all times"
988935,186041,"Brooklyn","R","Union Street","32",28,"D,N-nights, R-all other times"
986227,181705,"Brooklyn","R","Prospect Avenue","32",30,"D,N-nights, R-all other times"
991780,185964,"Brooklyn","B,Q","7 Avenue","32",41,"B-weekdays and evenings, Q-all times"
994945,177940,"Brooklyn","Q","Parkside Avenue","32",43,"Q-all times"
994141,173870,"Brooklyn","Q","Beverley Road","32",45,"Q-all times"
995556,183503,"Brooklyn","S","Botanic Garden","32",142,"S Franklin Av-Fulton St to Prospect Park-all times"
996263,200565,"Brooklyn","L","Bedford Avenue","33",120,"L-all times"
999790,199621,"Brooklyn","L","Graham Avenue","33",122,"L-all times"
1000942,197004,"Brooklyn","L","Montrose Avenue","33",124,"L-all times"
1005623,196722,"Brooklyn","L","Jefferson Street","33",126,"L-all times"
1008935,194125,"Brooklyn","L","Myrtle / Wyckoff Avenues","33",128,"L-all times"
1010885,190264,"Brooklyn","L","Wilson Avenue","33",130,"L-all times"
1011122,186471,"Brooklyn","L","Broadway Junction","33",132,"L-all times"
1011459,183079,"Brooklyn","L","Sutter Avenue","33",134,"L-all times"
1012195,179353,"Brooklyn","L","New Lots Avenue","33",136,"L-all times"
1011487,174885,"Brooklyn","L","Canarsie/ Rockaway Parkway","33",138,"L-all times"
997146,196819,"Brooklyn","J,M","Hewes Street","33",100,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights"
1000505,194458,"Brooklyn","J,M","Flushing Avenue","33",98,"J-all times, skips weekdays AM westbound, PM eastbound, M-all times exc nights"
1004075,191826,"Brooklyn","J","Kosciusko Street","33",96,"J-all times"
1007369,189367,"Brooklyn","J","Halsey Street","33",94,"J-all times"
1010797,186802,"Brooklyn","J,Z","Broadway Junction / Eastern Parkway","33",92,"J-all times, Z-rush hours AM westbound, PM eastbound"
1014301,186319,"Brooklyn","J,Z","Van Siclen Avenue","33",90,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1017637,187595,"Brooklyn","J,Z","Norwood Avenue","33",88,"Z-rush hours AM westbound, PM eastbound, J-all other times"
1019381,190548,"Brooklyn","J","Cypress Hills","33",86,"J-all times"
1006511,193827,"Brooklyn","M","Knickerbocker Avenue","33",113,"M-all times"
1009875,195382,"Brooklyn","M","Seneca Avenue","33",111,"M-all times"
1013113,196591,"Brooklyn","M","Fresh Pond Road","33",109,"M-all times"
1000654,186995,"Brooklyn","A,C","Kingston / Throop Avenues","33",180,"A-nights, C-all other times"
1006221,186600,"Brooklyn","A,C","Ralph Avenue","33",182,"A-nights, C-all other times"
1010513,186426,"Brooklyn","A,C","Broadway Junction / East New York","33",184,"A-all times, C-all times exc nights"
1014664,184382,"Brooklyn","A,C","Van Siclen Avenue","33",186,"A-nights, C-all other times"
1019726,185360,"Brooklyn","A,C,S","Euclid Avenue","33",188,"S to Ozone Park-Lefferts Blvd-nights, C-all other times, A-all times"
989462,149596,"Brooklyn","D,F,N,Q","Stillwell Avenue / Coney Island","34",58,"D,F,N,Q-all times"
993000,149244,"Brooklyn","Q","Ocean Parkway","34",56,"Q-all times"
997011,152975,"Brooklyn","B,Q","Sheepshead Bay","34",54,"B-weekdays and evenings, Q-all times"
996521,157624,"Brooklyn","Q","Avenue U","34",52,"Q-all times"
995565,164214,"Brooklyn","Q","Avenue M","34",50,"Q-all times"
994932,168516,"Brooklyn","Q","Avenue H","34",48,"Q-all times"
991308,150856,"Brooklyn","F","Neptune Avenue","34",253,"F-all times"
991644,156389,"Brooklyn","F","Avenue U","34",251,"F-all times"
991746,161095,"Brooklyn","F","Avenue P","34",249,"F-all times"
991119,165427,"Brooklyn","F","Bay Parkway","34",247,"F-all times"
990642,168714,"Brooklyn","F","18 Avenue","34",245,"F-all times"
990308,155128,"Brooklyn","N","86 Street","34",79,"N-all times"
989700,159352,"Brooklyn","N","Kings Highway","34",77,"N-all times"
988547,164106,"Brooklyn","N","20 Avenue","34",75,"N-all times"
