LINE,NAME,DISTRICT,SECTOR,STATION_ID
"N,W",Ditmars Boulevard / Astoria,20,,1
"2,5",Winthrop Street,32,,355
"2,5",Church Avenue,32,,356
"2,5",Beverly Road,32,,357
"2,5",Newkirk Avenue,32,,358
"2,5",Flatbush Avenue / Brooklyn College,32,,359
6,Pelham Bay Park,12,C,360
6,Buhre Avenue,12,C,361
6,Middletown Road,12,C,362
6,East Tremont Avenue / Westchester Square,12,C,363
6,Zerega Avenue,12,C,364
6,Castle Hill Avenue,12,C,365
6,Parkchester / East 177 Street,12,C,366
6,St. Lawrence Avenue,12,C,367
6,Morrison Avenue / Soundview,12,C,368
6,Elder Avenue,12,C,369
6,Whitlock Avenue,12,C,370
6,Hunts Point Avenue,12,C,371
6,Longwood Avenue,12,C,372
6,East 149 Street,12,C,373
6,East 143 Street / St. Mary's Street,12,C,374
6,Cypress Avenue,12,C,375
6,Brook Avenue,12,C,376
6,3 Avenue / 138 Street,12,C,377
4,Woodlawn,11,,378
4,Mosholu Parkway,11,,379
4,Bedford Park Boulevard / Lehman College,11,,380
4,Kingsbridge Road,11,,381
4,Fordham Road,11,,382
4,183 Street,11,,383
4,Burnside Avenue,11,,384
4,176 Street,11,,385
4,Mt. Eden Avenue,11,,386
4,170 Street,11,,387
4,167 Street,11,,388
4,161 Street / Yankee Stadium,11,,389
4,149 Street / Grand Concourse,11,,390
4,138 Street / Grand Concourse,11,,391
"4,5,6",125 Street,04,,392
6,116 Street,04,,393
6,110 Street,04,,394
6,103 Street,04,,395
6,96 Street,04,,396
"4,5,6",86 Street,04,,397
6,77 Street,04,,398
6,68 Street / Hunter College,04,,399
"4,5,6",59 Street / Lexington Avenue,04,,400
6,51 Street,04,,401
"4,5,6",42 Street / Grand Central,04,,402
6,33 Street,04,,403
6,28 Street,04,,404
6,23 Street,04,,405
"4,5,6",14 Street / Union Square,04,,406
6,Astor Place,04,,407
6,Bleecker Street,04,,408
6,Spring Street,04,,409
6,Canal Street,02,,410
"4,5,6",Brooklyn Bridge / City Hall,02,,411
"4,5",Fulton Street,02,,412
"4,5",Wall Street,02,,413
"4,5",Bowling Green,02,,414
"4,5",Borough Hall,30,A,415
2,241 Street / Wakefield,12,A,416
"2,5",238 Street / Nereid Avenue,12,A,417
"2,5",233 Street,12,A,418
"2,5",225 Street,12,A,419
"2,5",219 Street,12,A,420
"2,5",Gun Hill Road,12,A,421
"2,5",Burke Avenue,12,A,422
"2,5",Allerton Avenue,12,A,423
"2,5",Pelham Parkway,12,A,424
"2,5",Bronx Park East,12,A,425
"2,5",East 180 Street,12,A,426
"2,5",East Tremont Avenue / West Farms Square,12,B,427
"2,5",174 Street,12,B,428
"2,5",Freeman Street,12,B,429
"2,5",Simpson Street,12,B,430
"2,5",Intervale Avenue,12,B,431
"2,5",Prospect Avenue,12,B,432
"2,5",Jackson Avenue,12,B,433
"2,5",3 Avenue / 149 Street,12,B,434
"2,5",149 Street / Grand Concourse,11,,435
3,148 Street / Harlem,03,,436
3,145 Street,03,,437
"2,3",135 Street,03,,438
"2,3",125 Street,03,,439
"2,3",116 Street,03,,440
"2,3",110 Street / Central Park North,03,,441
5,Dyre Avenue / Eastchester,12,A,442
5,Baychester Avenue,12,A,443
5,Gun Hill Road,12,A,444
5,Pelham Parkway,12,A,445
5,Morris Park,12,A,446
"E,M",Main Street / Flushing,20,,447
7,Willets Point / Citi Field,20,,448
7,111 Street / Roosevelt Ave,20,,449
7,103 Street / Corona Plaza,20,,450
7,Junction Boulevard,20,,451
7,90 Street / Elmhurst Avenue,20,,452
7,82 Street / Jackson Heights,20,,453
7,74 Street / Broadway,20,,454
7,69 Street,20,,455
7,61 Street / Woodside,20,,456
7,52 Street,20,,457
7,46 Street,20,,458
7,40 Street,20,,459
7,33 Street,20,,460
"N,W,7",Queensboro Plaza,20,,461
7,45 Road / Court House Square,20,,462
7,Hunters Point Avenue,20,,463
7,Vernon Boulevard / Jackson Avenue,20,,464
7,42 Street / Grand Central,04,,465
7,5 Avenue / 42 Street,01,,466
7,42 Street / Times Square,01,,467
S,42 Street / Times Square,01,,468
S,42 Street / Grand Central,04,,469
7,34 Street / Hudson Yards,01,,471
Q,96 Street,04,,475
Q,86 Street,04,,476
Q,72 Street,04,,477
